,City,lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,County,Date
0,busselton,-33.65,115.33,55.0,83,0,16.64,AU,1593984518
1,sao filipe,14.9,-24.5,73.94,82,71,11.95,CV,1593984519
2,hermanus,-34.42,19.23,51.01,95,100,2.71,ZA,1593984519
3,kodiak,57.79,-152.41,55.4,87,90,8.05,US,1593984519
4,cabo san lucas,22.89,-109.91,97.0,36,5,21.92,MX,1593984519
5,east london,-33.02,27.91,62.92,71,99,10.02,ZA,1593984519
6,bredasdorp,-34.53,20.04,48.2,100,100,4.7,ZA,1593984391
7,ushuaia,-54.8,-68.3,35.6,92,75,3.36,AR,1593984519
8,araouane,18.9,-3.53,94.93,30,84,10.94,ML,1593984519
9,lompoc,34.64,-120.46,75.99,60,0,16.11,US,1593984231
10,atuona,-9.8,-139.03,79.38,78,21,21.45,PF,1593984519
11,tasiilaq,65.61,-37.64,42.8,60,49,25.28,GL,1593984520
12,rikitea,-23.12,-134.97,72.48,76,41,8.12,PF,1593984520
13,cape town,-33.93,18.42,52.0,100,97,2.24,ZA,1593984520
14,mataura,-46.19,168.86,41.77,95,97,1.41,NZ,1593984520
15,vaini,-21.2,-175.2,77.0,83,75,9.17,TO,1593984520
16,bluff,-46.6,168.33,48.85,90,100,19.93,NZ,1593984520
17,port hardy,50.7,-127.42,62.6,72,75,5.82,CA,1593984477
18,ponta delgada,37.73,-25.67,69.8,83,40,9.17,PT,1593984520
19,barrow,71.29,-156.79,42.8,70,1,11.41,US,1593984520
20,nuuk,64.18,-51.72,42.8,75,40,18.34,GL,1593984521
21,vardo,70.37,31.11,46.4,100,90,13.87,NO,1593984521
22,mar del plata,-38.0,-57.56,48.99,70,75,4.7,AR,1593984521
23,miles city,46.41,-105.84,86.0,28,1,13.87,US,1593984521
24,adrar,20.5,-10.07,100.54,8,1,14.81,MR,1593984521
25,mount isa,-20.73,139.5,50.0,37,0,11.41,AU,1593984521
26,puerto ayora,-0.74,-90.35,78.8,61,20,18.34,EC,1593984521
27,verkhnedneprovskiy,54.98,33.35,62.2,95,0,5.77,RU,1593984521
28,cockburn town,21.46,-71.14,87.8,62,40,10.29,TC,1593984521
29,port elizabeth,-33.92,25.57,59.0,87,100,14.99,ZA,1593984522
30,dollar,56.16,-3.67,52.0,82,87,5.01,GB,1593984522
31,chiang kham,19.52,100.3,77.0,100,20,2.26,TH,1593984522
32,rocha,-34.48,-54.33,45.99,90,26,6.51,UY,1593984446
33,pevek,69.7,170.31,46.89,63,74,2.89,RU,1593984368
34,kavaratti,10.57,72.64,82.78,79,100,15.73,IN,1593984522
35,albany,42.6,-73.97,91.99,33,60,9.73,US,1593984522
36,ryazanovskiy,55.55,39.43,64.69,91,97,3.76,RU,1593984522
37,nhulunbuy,-12.23,136.77,75.2,64,40,13.87,AU,1593984522
